"env.var","coef","lower","upper","p.value","signif","aic"
"rain",0.988,0.969,1.007,0.222,"-",1849.32901746872
"rain.lag.2",0.988,0.969,1.007,0.217,"-",1849.29503073239
"rain.lag.6",0.984,0.965,1.003,0.105,"-",1848.171713243
"rain.lag.14",0.988,0.969,1.008,0.232,"-",1849.39126082901
"mean.temp",0.958,0.938,0.979,0,"***",1835.32148945762
"mean.temp.lag.2",0.954,0.934,0.974,0,"***",1831.61698723835
"mean.temp.lag.6",0.949,0.929,0.968,0,"***",1825.89601854673
"mean.temp.lag.14",0.957,0.936,0.977,0,"***",1834.3314348883
"min.temp",0.97,0.949,0.991,0.005,"**",1843.02002383114
"min.temp.lag.2",0.965,0.944,0.986,0.001,"**",1840.39126590301
"min.temp.lag.6",0.961,0.941,0.982,0,"***",1837.82544898776
"min.temp.lag.14",0.972,0.95,0.994,0.012,"*",1844.43999301295
"max.temp",0.956,0.938,0.975,0,"***",1829.61542256361
"max.temp.lag.2",0.953,0.935,0.971,0,"***",1825.8030821
"max.temp.lag.6",0.948,0.931,0.965,0,"***",1817.63733053307
"max.temp.lag.14",0.953,0.936,0.971,0,"***",1825.87554245573
